Politician,VideoId
Vivek Ramaswamy,G6PwkEgJ01k
Vivek Ramaswamy,rPaUCvRKP80
Vivek Ramaswamy,83r4ciRRgOw
Vivek Ramaswamy,TGIes_478es
Vivek Ramaswamy,vOqHACfqOv0
Vivek Ramaswamy,u_W7RZg2NcE
Vivek Ramaswamy,vsZgnTystZo
Vivek Ramaswamy,JX5JcNmVV-8
Vivek Ramaswamy,JsaDKPwStCA
Vivek Ramaswamy,2St99U3sS3s
Vivek Ramaswamy,U7iioOYfMco
Vivek Ramaswamy,BFMBFLUVZiU
Vivek Ramaswamy,tBDNqiA1Fgk
Vivek Ramaswamy,pcyyf__nKr0
Vivek Ramaswamy,WoPyDqHQ6W4
Vivek Ramaswamy,RBHBprRoPD0
Vivek Ramaswamy,gxJz5-bts5k
Vivek Ramaswamy,uJsUkROnDy4
Vivek Ramaswamy,38ODSYk0LDY
Vivek Ramaswamy,PwNGmIyePas
Vivek Ramaswamy,-g_pECoQzYU
Vivek Ramaswamy,6W6vaCb--do
Vivek Ramaswamy,czdW83TR5oI
Vivek Ramaswamy,NnMF66Ml25k
Vivek Ramaswamy,1dyUSYHIClc
Vivek Ramaswamy,6XsvALujbFw
Vivek Ramaswamy,XAWPlkd2j7U
Vivek Ramaswamy,L1iOFxFao7I
Vivek Ramaswamy,F7pFMraxaJc
Vivek Ramaswamy,fJ4rzuee9Js
Vivek Ramaswamy,3lfK-kusCdI
Vivek Ramaswamy,TwVTaVx65V8
Vivek Ramaswamy,Bn1hWsykJzY
Vivek Ramaswamy,qHeuowXqPcc
Vivek Ramaswamy,nV68Tkt0oCU
Vivek Ramaswamy,AxPNf6XuqM4
Vivek Ramaswamy,mhpy9B4alxQ
Vivek Ramaswamy,tJKLNHsrOG4
Vivek Ramaswamy,KnD0Px9GCgo
Vivek Ramaswamy,6H0QRu9U90w
Vivek Ramaswamy,_dHPtkuGjrI
Vivek Ramaswamy,b8aECKO-VtA
Vivek Ramaswamy,Y6i4ILQrKEg
Vivek Ramaswamy,lMBykSFD1W8
Vivek Ramaswamy,gLI0OERg1bI
Vivek Ramaswamy,q4PAGjVdNbU
Vivek Ramaswamy,uXg56vmA-SM
Vivek Ramaswamy,4UyL_d68yw4
Vivek Ramaswamy,bRd7UO08HoI
Vivek Ramaswamy,tI7-SnEWMI8
Vivek Ramaswamy,CB86UKrQAbQ
Vivek Ramaswamy,1-3_-GqdIaY
Vivek Ramaswamy,Wwoq4Yikfko
Vivek Ramaswamy,ehEAXIgfDs4
Vivek Ramaswamy,XNgXSCHEfrg
Vivek Ramaswamy,g_rzOKBKMcw
Vivek Ramaswamy,m3tfv1d1K6I
Vivek Ramaswamy,2cwntkkyjXo
Vivek Ramaswamy,Sk6LTYLsEVQ
Vivek Ramaswamy,c-ZXKyyT0To
Vivek Ramaswamy,VLirHFplzz8
Vivek Ramaswamy,DSw_SrxJngI
Vivek Ramaswamy,txoNYN3CMBY
Vivek Ramaswamy,9jjX7JVhvD0
Vivek Ramaswamy,ba1XgB1L1_s
Vivek Ramaswamy,YRqrt2D6X5I
Vivek Ramaswamy,m4Db_CD9mRI
Vivek Ramaswamy,RtDX96o8tnA
Vivek Ramaswamy,weBv1m-6lwY
Vivek Ramaswamy,U5RyE4d5nBY
Vivek Ramaswamy,LToaa8ML1xk
Vivek Ramaswamy,IbecCQ86wT0
Vivek Ramaswamy,c89DxCoAY6M
Vivek Ramaswamy,iFLDi9GMuU0
Vivek Ramaswamy,sKE4PpQqKbw
Vivek Ramaswamy,F5wD-srkV4g
Vivek Ramaswamy,ItT9O2WwArc
Vivek Ramaswamy,qKMsaZvodFM
Vivek Ramaswamy,9ai5N3mqWt4
Vivek Ramaswamy,_18kmuHPvNg
Marjorie Taylor Greene,AgNh3hAqVOM
Marjorie Taylor Greene,zbSkbY53MHQ
Marjorie Taylor Greene,1o0i5YO0X1g
Marjorie Taylor Greene,-MIGmTpWrlg
Marjorie Taylor Greene,MOfXMTh8bFo
Marjorie Taylor Greene,lGzID0LcRbA
Marjorie Taylor Greene,3aIHPH3VSg0
Marjorie Taylor Greene,S0kThWOAwtk
Marjorie Taylor Greene,2IE5BCi-QJU
Marjorie Taylor Greene,kNV4DujgBq8
Marjorie Taylor Greene,elD9e6U683k
Marjorie Taylor Greene,GjwgEnxr-LU
Marjorie Taylor Greene,vV67HqqlowY
Marjorie Taylor Greene,vJsvD2nQtns
